"Sort Key","Type","Name","Version","Name Space Id","Description","Steward","Value Type","Minimum Cardinality","Maximum Cardinality","Minimum Value","Maximum Value","Minimum Characters","Maximum Characters","Unit of Measure Type","Specified Unit Id","Attribute Concept","Conceptual Domain"
"rings:Body_Ident_Base:1               ","Class","Body_Ident_Base","1.0.0.0","rings","The Body_Ident_Base class provides multiple attributes that can be used to identify a physical object (spacecraft, planet instrument, transmitter, system barycenter, etc.). At least one must be used. ","rings","","","","","","","","","","",""
"rings:Body_Ident_Base:2                pds:local_identifier:1              ","Attribute","local_identifier","n/a","pds","The local_identifier attribute provides a character string which uniquely identifies the containing object within the label.","TBD_steward","ASCII_Local_Identifier","0","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","TBD_dataConcept"
"rings:Body_Ident_Base:2                rings:body_spice_name:1               ","Attribute","body_spice_name","n/a","rings","The body_spice_name attribute is a NAIF-recognized string identifier for a physical object (spacecraft, planet, instrument transmitter, system barycenter, etc.), associated with the data. ","rings","ASCII_Short_String_Collapsed","0","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"rings:Body_Ident_Base:2                pds:name:1                          ","Attribute","name","n/a","pds","The name attribute provides a word or combination of words by which the object is known.","TBD_steward","UTF8_Short_String_Collapsed","0","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","TBD_dataConcept"
"rings:Frame_Ident_Base:1              ","Class","Frame_Ident_Base","1.0.0.0","rings","The Frame_Ident_Base class provides multiple attributes that can be used to identify a reference frame. At least one must be used. ","rings","","","","","","","","","","",""
"rings:Frame_Ident_Base:2               pds:local_identifier:1              ","Attribute","local_identifier","n/a","pds","The local_identifier attribute provides a character string which uniquely identifies the containing object within the label.","TBD_steward","ASCII_Local_Identifier","0","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","TBD_dataConcept"
"rings:Frame_Ident_Base:2               rings:frame_spice_name:1              ","Attribute","frame_spice_name","n/a","rings","The frame_spice_name attribute is a NAIF-recognized string identifier for a reference frame associated with the data. ","rings","ASCII_Short_String_Collapsed","0","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"rings:Frame_Ident_Base:2               pds:name:1                          ","Attribute","name","n/a","pds","The name attribute provides a word or combination of words by which the object is known.","TBD_steward","UTF8_Short_String_Collapsed","0","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","TBD_dataConcept"
"rings:Frame_Ident_Base:2               pds:comment:1                       ","Attribute","comment","n/a","pds","The comment attribute is a character string expressing one or more remarks or thoughts relevant to the object.","TBD_steward","ASCII_Short_String_Collapsed","0","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","TBD_dataConcept"
"rings:Central_Body_Ident:1            ","Class","Central_Body_Ident","1.0.0.0","rings","The Central_Body_Ident class uniquely identifies the body that is the central body associated with an observation (e.g., Saturn for Saturn system observations). ","rings","","","","","","","","","","",""
"rings:Central_Body_Ident:2             pds:local_identifier:1              ","Attribute","local_identifier","n/a","pds","The local_identifier attribute provides a character string which uniquely identifies the containing object within the label.","TBD_steward","ASCII_Local_Identifier","0","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","TBD_dataConcept"
"rings:Central_Body_Ident:2             rings:body_spice_name:1               ","Attribute","body_spice_name","n/a","rings","The body_spice_name attribute is a NAIF-recognized string identifier for a physical object (spacecraft, planet, instrument transmitter, system barycenter, etc.), associated with the data. ","rings","ASCII_Short_String_Collapsed","0","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"rings:Central_Body_Ident:2             pds:name:1                          ","Attribute","name","n/a","pds","The name attribute provides a word or combination of words by which the object is known.","TBD_steward","UTF8_Short_String_Collapsed","0","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","TBD_dataConcept"
"rings:Reference_Frame_Ident:1         ","Class","Reference_Frame_Ident","1.0.0.0","rings","The Reference_Frame_Ident class is a base class for identifying reference frames. These are frames in the NAIF sense, i.e., three orthogonal axes with a specified orientation, but without a fixed origin. ","rings","","","","","","","","","","",""
"rings:Reference_Frame_Ident:2          pds:local_identifier:1              ","Attribute","local_identifier","n/a","pds","The local_identifier attribute provides a character string which uniquely identifies the containing object within the label.","TBD_steward","ASCII_Local_Identifier","0","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","TBD_dataConcept"
"rings:Reference_Frame_Ident:2          rings:frame_spice_name:1              ","Attribute","frame_spice_name","n/a","rings","The frame_spice_name attribute is a NAIF-recognized string identifier for a reference frame associated with the data. ","rings","ASCII_Short_String_Collapsed","0","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"rings:Reference_Frame_Ident:2          pds:name:1                          ","Attribute","name","n/a","pds","The name attribute provides a word or combination of words by which the object is known.","TBD_steward","UTF8_Short_String_Collapsed","0","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","TBD_dataConcept"
"rings:Reference_Frame_Ident:2          pds:comment:1                       ","Attribute","comment","n/a","pds","The comment attribute is a character string expressing one or more remarks or thoughts relevant to the object.","TBD_steward","ASCII_Short_String_Collapsed","0","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","TBD_dataConcept"
