"Sort Key","Type","Name","Version","Name Space Id","Description","Steward","Value Type","Minimum Cardinality","Maximum Cardinality","Minimum Value","Maximum Value","Minimum Characters","Maximum Characters","Unit of Measure Type","Specified Unit Id","Attribute Concept","Conceptual Domain"
"rings:Rings_Supplement:1              ","Class","Rings_Supplement","1.0.0.0","rings","This class is required for all Rings Node curated data products","rings","","","","","","","","","","",""
"rings:Rings_Supplement:2               rings:ring_observation_id:1           ","Attribute","ring_observation_id","n/a","rings","The ring_observation_id uniquely identifies a single experiment or observation (image, occultation profile, spectrum, etc.) within a rings-related data set. This is the common id by which data are identified within the Rings Node catalog. It describes the smallest quantity of data that can be usefully cataloged or analyzed by itself. Note that a single observation may be associated with multiple data products (e.g. raw and calibrated versions of an image). Note also that a single data product may be associated with multiple observations (e.g. a single WFPC2 image file containing four different images). A ring observation id is constructed using numbers, upper case letters, forward slash, colon, period, dash, and underscore as follows: p/type/host/inst/time/... where p is a single-letter planet id (one of J, S, U, or N); type is IMG for images, OCC for occultation profile, etc.; host is the instrument host id, inst is the instrument id; time is the observation time as a date or instrument clock count; further information identifying the observation can then be appended as appropriate. Optional in labels. Nillable, in which case the nil_reason should be 'inapplicable'. Examples: J/IMG/VG2/ISS/20693.01/N J/IMG/VG2/ISS/20693.02/W S/IMG/HST/WFPC2/1995-08-10/U2TF020B/PC1 U/OCC/VG2/RSS/1986-01-24/S U/OCC/VG2/RSS/1986-01-24/X N/OCC/VG2/PPS/1989-08-25/SIGMA_SGR ","rings","ASCII_Short_String_Collapsed","1","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"rings:Rings_Supplement:2               rings:source_pds3_id:1                ","Attribute","source_pds3_id","n/a","rings","source_pds3_id is the PDS3 product identifier for the source product. If the source product has been archived under PDS4, use the Internal_Reference class in the Investigation_Area. source_pds3_id is constructed as PDS3 dataset_id, a colon, then the PDS3 product_id. The acceptable nil_reasons are 'inapplicable' and 'unknown'. ","rings","ASCII_Short_String_Collapsed","0","*","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"rings:Occultation_Ring_Profile:1      ","Class","Occultation_Ring_Profile","1.0.0.0","rings","This class replaces the Radio_Occultation and Stellar_Occultation classes. It is used for all ring occultation profiles regardless of the occultation type. ","rings","","","","","","","","","","",""
"rings:Occultation_Ring_Profile:2       rings:orbit_number:1                  ","Attribute","orbit_number","n/a","rings","orbit_number if present is the value assigned by the mission for the orbit number associated with the observation. Optional in labels of occultation observations and may be used multiple times. Nillable, the nil_reason should be 'inapplicable'. Normally not intended as a value for a table field. ","rings","ASCII_Short_String_Collapsed","0","*","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"rings:Occultation_Ring_Profile:2       rings:sclk_start_time:1               ","Attribute","sclk_start_time","n/a","rings","sclk_start_time is the value of the spacecraft clock corresponding to the start_date_time given in the label. ","rings","ASCII_Short_String_Collapsed","0","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"rings:Occultation_Ring_Profile:2       rings:sclk_stop_time:1                ","Attribute","sclk_stop_time","n/a","rings","sclk_stop_time is the value of the spacecraft clock corresponding to the stop_date_time given in the label. ","rings","ASCII_Short_String_Collapsed","0","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"rings:Occultation_Ring_Profile:2       rings:occultation_type:1              ","Attribute","occultation_type","n/a","rings","occultation_type distinguishes between three types of occultation experiments: Stellar, Solar, or Radio. Stellar occultations involve observing a star as a targeted ring or body passes in front, as seen from either a spacecraft or Earth-based observatory. Solar occultations are similar to stellar occultations except that the Sun is used in place of a star. Radio occultations typically involve observing the continuous-wave radio transmissions from a spacecraft as it passes behind the target as seen from a radio telescope on Earth or another spacecraft. Required in labels of occultation observations. Normally not intended as a value for a table field. ","rings","ASCII_Short_String_Collapsed","1","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"rings:Occultation_Ring_Profile:2       rings:occultation_type:2               Value:Solar","Value","Solar","","","The target occulted the sun."
"rings:Occultation_Ring_Profile:2       rings:occultation_type:2               Value:Stellar","Value","Stellar","","","The target occulted a star."
"rings:Occultation_Ring_Profile:2       rings:occultation_type:2               Value:Radio","Value","Radio","","","Radio waves were transmitted through the target."
